City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
69,Kavaratti,IN,2020-07-09 23:03:52,10.57,72.64,83.7,74,100,11.34
70,Ponta Do Sol,PT,2020-07-09 23:00:17,32.67,-17.1,71.01,73,0,3.8
71,Boende,CD,2020-07-09 23:03:53,-0.22,20.87,74.79,85,100,2.48
72,Alma,CA,2020-07-09 23:03:53,48.55,-71.65,86.0,65,75,2.24
73,Castro,BR,2020-07-09 23:03:53,-24.79,-50.01,47.01,70,88,0.76
74,Fort Wellington,GY,2020-07-09 23:03:54,6.4,-57.6,78.85,86,97,9.04
75,Constanza,DE,2020-07-09 23:03:54,47.66,9.18,71.6,87,5,2.15
76,Vila Velha,BR,2020-07-09 23:01:09,-20.33,-40.29,75.2,88,0,6.93
77,Beloha,MG,2020-07-09 23:03:54,-25.17,45.05,63.3,66,0,9.84
78,Urcos,PE,2020-07-09 23:03:54,-13.69,-71.62,51.13,53,100,7.38
79,Pavilosta,LV,2020-07-09 23:03:55,56.89,21.19,55.4,87,66,3.36
80,Narsaq,GL,2020-07-09 23:00:20,60.92,-46.05,50.0,81,99,5.82
81,Saint George,US,2020-07-09 22:59:36,37.1,-113.58,102.99,5,1,5.82
82,Dedza,MW,2020-07-09 23:03:55,-14.38,34.33,56.91,96,43,4.25
83,Dingle,PH,2020-07-09 23:03:55,11.0,122.67,80.15,83,100,2.04
84,Bumbuna,SL,2020-07-09 23:03:56,9.05,-11.73,71.83,97,100,4.16
85,Severnyy,RU,2020-07-09 23:03:56,50.68,36.55,59.0,77,3,6.71
86,Codrington,AU,2020-07-09 23:00:11,-38.27,141.97,46.31,76,100,10.51
87,Jamestown,US,2020-07-09 23:02:19,42.1,-79.24,84.0,65,20,4.7
88,Xuddur,SO,2020-07-09 23:03:56,4.12,43.89,72.59,77,82,15.01
89,Marystown,CA,2020-07-09 23:03:57,47.17,-55.15,51.33,91,100,10.38
90,Mahebourg,MU,2020-07-09 23:01:48,-20.41,57.7,71.6,78,75,18.34
91,Maceio,BR,2020-07-09 23:03:57,-9.67,-35.74,73.4,94,75,3.36
92,Wenceslau Braz,BR,2020-07-09 23:03:57,-23.87,-49.8,52.23,66,93,3.09
93,Sur,OM,2020-07-09 23:03:57,22.57,59.53,92.32,45,100,8.97
94,Nouakchott,MR,2020-07-09 23:01:06,18.09,-15.98,78.8,83,75,18.34
95,Soyo,AO,2020-07-09 23:03:57,-6.13,12.37,73.69,84,4,9.17
96,Santa Fe,AR,2020-07-09 23:01:57,-31.63,-60.7,55.0,59,0,4.0
97,Pochinki,RU,2020-07-09 23:03:58,54.7,44.87,58.66,93,100,8.63
98,Ribeira Grande,PT,2020-07-09 23:03:58,38.52,-28.7,68.0,72,75,5.82
99,Havre-Saint-Pierre,CA,2020-07-09 23:03:58,50.23,-63.6,66.2,82,75,4.7
100,Carutapera,BR,2020-07-09 23:03:58,-1.2,-46.02,78.28,82,36,8.57
101,Saint Anthony,US,2020-07-09 23:03:58,45.02,-93.22,80.6,74,1,6.93
102,Manicore,BR,2020-07-09 23:03:59,-5.81,-61.3,79.61,62,10,1.23
103,Cabedelo,BR,2020-07-09 23:00:02,-6.98,-34.83,77.0,88,40,4.7
104,Adrar,MR,2020-07-09 23:03:59,20.5,-10.07,95.04,9,0,9.66
105,Kakamega,KE,2020-07-09 23:03:59,0.28,34.75,58.48,88,26,4.36
106,Vetovo,BG,2020-07-09 23:03:59,43.7,26.27,63.7,69,0,6.58
107,Saraipali,IN,2020-07-09 23:03:59,21.33,83.0,81.05,78,100,8.1
108,Shymkent,KZ,2020-07-09 23:04:00,42.3,69.6,77.0,36,90,6.71
109,Husavik,IS,2020-07-09 23:04:00,66.04,-17.34,48.2,76,75,10.29
110,Georgetown,MY,2020-07-09 23:04:00,5.41,100.34,80.6,94,20,5.37
111,Moustheni,GR,2020-07-09 23:04:00,40.87,24.12,71.01,71,3,5.01
112,Corner Brook,CA,2020-07-09 23:04:22,48.97,-57.95,59.0,77,90,9.17
113,Belmonte,BR,2020-07-09 23:04:22,-15.86,-38.88,73.4,83,20,4.7
114,Conceicao Do Araguaia,BR,2020-07-09 23:04:23,-8.26,-49.26,78.67,36,0,2.93
115,Cockburn Town,TC,2020-07-09 23:00:05,21.46,-71.14,83.32,80,100,19.73
116,Barcelos,PT,2020-07-09 23:04:23,41.54,-8.62,71.01,88,0,4.7
117,Mar Del Plata,AR,2020-07-09 23:04:23,-38.0,-57.56,46.99,70,100,12.75
118,Hofn,IS,2020-07-09 23:01:42,64.25,-15.21,52.88,66,84,9.75
119,Ancud,CL,2020-07-09 22:59:27,-41.87,-73.82,45.0,87,90,8.05
120,Dudinka,RU,2020-07-09 23:04:24,69.41,86.18,53.6,93,2,24.61
121,Yanam,IN,2020-07-09 23:04:24,16.73,82.22,79.99,87,92,4.63
122,Port Antonio,JM,2020-07-09 23:04:24,18.18,-76.46,87.8,74,40,23.04
123,Bubaque,GW,2020-07-09 23:03:12,11.28,-15.83,82.49,82,99,17.43
124,Paita,PE,2020-07-09 23:04:25,-5.09,-81.11,65.64,75,0,20.71
125,Salinopolis,BR,2020-07-09 23:04:25,-0.61,-47.36,79.57,83,36,12.66
126,Mossendjo,CG,2020-07-09 23:04:25,-2.95,12.73,68.61,96,99,4.54
127,Lujan,AR,2020-07-09 23:04:25,-34.57,-59.1,51.01,64,6,3.0
128,Baturite,BR,2020-07-09 23:04:25,-4.33,-38.88,73.08,87,38,3.24
129,Tazovskiy,RU,2020-07-09 23:04:25,67.47,78.7,53.8,73,0,19.08
130,Lasa,IT,2020-07-09 23:04:26,46.62,10.7,60.8,87,5,1.12
131,Ferrol,ES,2020-07-09 23:04:26,43.48,-8.24,64.0,100,75,6.93
132,Nurota,UZ,2020-07-09 23:04:26,40.56,65.69,75.2,27,0,9.17
133,Konotop,UA,2020-07-09 23:04:26,51.24,33.2,53.35,91,0,3.85
134,Bathsheba,BB,2020-07-09 23:00:45,13.22,-59.52,84.2,70,40,17.22
135,Maridi,SS,2020-07-09 23:04:27,4.92,29.47,66.81,94,51,1.7
136,Nantucket,US,2020-07-09 23:01:36,41.28,-70.1,75.0,88,1,8.05
137,Rocha,UY,2020-07-09 23:04:27,-34.48,-54.33,42.44,78,21,7.74
138,Guarapari,BR,2020-07-09 23:04:27,-20.67,-40.5,75.2,88,0,6.93
139,Sao Filipe,CV,2020-07-09 23:04:27,14.9,-24.5,74.5,86,53,10.63
140,Harlingen,US,2020-07-09 23:00:14,26.19,-97.7,96.8,47,40,20.8
141,Pontes E Lacerda,BR,2020-07-09 23:00:47,-15.23,-59.34,69.04,64,4,7.78
142,Camacha,PT,2020-07-09 23:04:28,33.08,-16.33,69.8,77,40,13.87
143,Muros,ES,2020-07-09 23:00:31,42.78,-9.06,66.0,80,26,5.99
144,Pemba,MZ,2020-07-09 23:04:28,-12.97,40.52,75.24,84,0,10.92
145,Kampene,CD,2020-07-09 23:04:28,-3.6,26.67,74.05,52,84,0.69
146,Shelabolikha,RU,2020-07-09 23:04:29,53.41,82.62,64.4,82,40,8.95
147,Thessalon,CA,2020-07-09 23:04:29,46.25,-83.57,84.2,51,1,5.82
148,Caravelas,BR,2020-07-09 23:04:29,-17.71,-39.25,71.37,86,0,5.41
149,Hvolsvollur,IS,2020-07-09 23:04:29,63.75,-20.22,51.01,83,99,18.01
150,Gamba,GA,2020-07-09 23:04:29,-2.65,10.0,72.95,88,98,5.93
151,Grindavik,IS,2020-07-09 23:04:29,63.84,-22.43,50.0,76,75,10.29
152,Mokrous,RU,2020-07-09 23:04:30,51.23,47.52,73.96,57,96,4.47
153,Henties Bay,NA,2020-07-09 23:04:30,-22.12,14.28,53.01,88,0,4.36
154,Keti Bandar,PK,2020-07-09 23:04:30,24.14,67.45,85.8,84,61,15.28
155,Goderich,CA,2020-07-09 22:59:55,43.75,-81.72,84.99,83,55,11.01
156,Farah,AF,2020-07-09 23:04:30,32.5,62.5,70.52,23,0,6.17
157,Roald,NO,2020-07-09 22:59:40,62.58,6.13,53.6,76,75,5.82
158,Maldonado,UY,2020-07-09 23:01:26,-34.67,-54.92,46.0,81,35,5.82
159,Stornoway,GB,2020-07-09 23:04:31,58.21,-6.39,48.99,93,100,4.7
160,Raga,SS,2020-07-09 23:04:31,8.46,25.68,69.17,89,97,2.59
161,Schwabach,DE,2020-07-09 23:04:31,49.33,11.03,68.0,64,0,4.7
162,Touros,BR,2020-07-09 23:04:31,-5.2,-35.46,77.0,88,40,3.36
163,Chik,RU,2020-07-09 23:04:32,54.99,82.43,66.2,100,100,8.95
164,Tsaratanana,MG,2020-07-09 23:04:32,-16.78,47.65,62.89,66,1,14.72
165,Naryan-Mar,RU,2020-07-09 23:00:21,67.67,53.09,72.1,75,0,13.29
166,Hornepayne,CA,2020-07-09 23:04:32,49.21,-84.77,81.73,48,57,11.41
167,Luau,AO,2020-07-09 23:04:32,-10.71,22.22,62.37,41,0,4.03
168,Lagoa,PT,2020-07-09 23:00:07,39.05,-27.98,69.03,71,14,3.31
169,Port-Gentil,GA,2020-07-09 23:04:33,-0.72,8.78,77.0,83,90,11.41
170,Plettenberg Bay,ZA,2020-07-09 23:04:33,-34.05,23.37,57.33,80,97,7.58
171,Hithadhoo,MV,2020-07-09 23:03:20,-0.6,73.08,84.36,72,81,7.0
172,Kiruna,SE,2020-07-09 23:04:33,67.86,20.23,46.4,100,100,11.41
173,Sorland,NO,2020-07-09 22:59:41,67.67,12.69,51.58,86,26,9.71
174,Dover,US,2020-07-09 23:00:09,39.16,-75.52,82.4,74,1,11.41
175,Constantine,DZ,2020-07-09 23:04:34,36.37,6.61,73.4,43,0,6.93
176,Uyuni,BO,2020-07-09 23:04:34,-20.46,-66.83,34.61,57,0,3.18
177,Xai-Xai,MZ,2020-07-09 23:04:34,-25.05,33.64,63.48,84,0,9.17
178,Lebork,PL,2020-07-09 23:04:34,54.54,17.75,59.0,100,90,13.87
179,Outjo,NA,2020-07-09 23:04:34,-20.12,16.15,52.36,43,0,4.85
180,Callaway,US,2020-07-09 23:04:34,30.15,-85.57,86.0,74,1,14.99
181,Mookane,BW,2020-07-09 23:04:35,-23.69,26.66,52.3,87,0,6.26
182,Klaksvik,FO,2020-07-09 23:04:35,62.23,-6.59,50.0,87,97,11.41
183,Leh,IN,2020-07-09 23:04:35,34.17,77.58,56.17,38,41,5.95
184,Ailigandi,PA,2020-07-09 23:04:35,9.23,-78.02,82.45,74,65,2.82
185,Diyarb Najm,EG,2020-07-09 23:04:35,30.75,31.44,80.6,69,40,10.29
186,Bajil,YE,2020-07-09 23:04:36,15.06,43.29,87.24,51,23,5.93
187,Ouesso,CG,2020-07-09 23:04:36,1.61,16.05,73.85,84,100,2.73
188,Atbasar,KZ,2020-07-09 23:04:36,51.8,68.33,67.55,79,46,7.83
189,Kasongo-Lunda,CD,2020-07-09 23:04:36,-6.47,16.82,74.17,61,35,2.64
190,Santiago Del Estero,AR,2020-07-09 23:03:07,-27.8,-64.26,56.7,52,0,10.18
191,Oyonnax,FR,2020-07-09 23:04:36,46.26,5.66,69.01,60,31,1.12
192,Colesberg,ZA,2020-07-09 23:04:37,-30.72,25.1,54.28,50,61,17.94
193,Colares,PT,2020-07-09 23:04:37,38.8,-9.45,66.99,82,20,26.4
194,Camocim,BR,2020-07-09 23:04:37,-2.9,-40.84,78.89,76,18,14.52
195,Joshimath,IN,2020-07-09 23:04:37,30.57,79.57,67.26,60,98,0.74
196,Bonavista,CA,2020-07-09 23:04:37,48.65,-53.11,54.0,85,100,3.0
197,San Cristobal,VE,2020-07-09 23:04:38,7.77,-72.22,91.4,36,40,14.99
198,Doha,QA,2020-07-09 23:01:26,25.29,51.53,97.0,89,13,3.36
199,Yantzaza,EC,2020-07-09 23:04:38,-3.83,-78.76,71.2,74,43,1.01
200,Salalah,OM,2020-07-09 23:01:24,17.02,54.09,82.4,88,75,3.36
201,Bushenyi,UG,2020-07-09 23:04:38,-0.59,30.21,61.11,62,0,1.14
202,Damietta,EG,2020-07-09 23:04:38,31.42,31.81,78.8,83,13,3.36
203,Coquimbo,CL,2020-07-09 23:02:23,-29.95,-71.34,59.0,72,85,2.24
204,Tucurui,BR,2020-07-09 23:04:39,-3.77,-49.67,77.94,64,93,2.98
205,Seinajoki,FI,2020-07-09 23:04:39,62.79,22.83,48.99,93,75,3.36
206,Amantea,IT,2020-07-09 23:04:39,39.13,16.07,69.8,100,0,3.36
207,Syamzha,RU,2020-07-09 23:04:39,60.02,41.06,50.04,96,5,3.58
208,Mehamn,NO,2020-07-09 23:04:39,71.04,27.85,46.2,93,100,13.31
209,Buraydah,SA,2020-07-09 23:02:16,26.33,43.98,86.0,25,0,6.93
210,Lyuban,BY,2020-07-09 23:04:40,52.8,28.0,52.65,88,95,5.99
211,Itaituba,BR,2020-07-09 23:04:40,-4.28,-55.98,82.89,60,81,2.51
212,Leshukonskoye,RU,2020-07-09 23:04:40,64.9,45.76,62.49,97,86,6.06
213,Aguas Verdes,PE,2020-07-09 23:04:40,-3.48,-80.25,73.53,71,19,8.08
214,Mamallapuram,IN,2020-07-09 23:04:40,12.63,80.17,77.0,94,90,5.82
215,Monte Alegre,BR,2020-07-09 23:00:37,-2.01,-54.07,78.89,75,81,3.6
216,Zonguldak,TR,2020-07-09 23:04:41,41.25,31.83,55.09,93,0,3.33
217,Qaqortoq,GL,2020-07-09 23:04:41,60.72,-46.03,50.0,81,100,5.82
218,Santiago,CL,2020-07-09 23:04:41,-33.46,-70.65,57.2,58,37,1.03
219,Ostrovnoy,RU,2020-07-09 23:04:41,68.05,39.51,59.38,92,100,12.55
220,Talnakh,RU,2020-07-09 23:04:41,69.49,88.4,53.6,93,21,24.61
221,Sao Joao Da Barra,BR,2020-07-09 23:04:41,-21.64,-41.05,71.29,80,1,17.87
222,Kapoeta,SS,2020-07-09 23:04:42,4.77,33.59,76.1,59,69,1.07
223,Oistins,BB,2020-07-09 23:04:42,13.07,-59.53,84.2,70,40,17.22
224,Tabat,ID,2020-07-09 23:04:42,-2.63,115.23,73.38,98,94,1.23
225,Arari,BR,2020-07-09 23:04:42,-3.45,-44.78,75.51,88,34,2.64
226,Berlevag,NO,2020-07-09 23:03:03,70.86,29.09,46.83,91,100,16.28
227,Vina Del Mar,CL,2020-07-09 23:04:42,-33.02,-71.55,59.0,76,24,5.82
228,Ispravnaya,RU,2020-07-09 23:04:43,44.07,41.61,64.0,7,100,1.99
229,Cayenne,GF,2020-07-09 23:04:43,4.93,-52.33,77.0,100,75,2.24
230,Valparaiso,CL,2020-07-09 23:04:43,-33.04,-71.63,59.0,76,27,5.82
231,Matelandia,BR,2020-07-09 23:04:43,-25.24,-54.0,51.8,93,0,2.24
232,Akdepe,TM,2020-07-09 23:04:43,42.06,59.38,80.6,42,0,11.41
233,Klobuck,PL,2020-07-09 23:04:44,50.9,18.94,64.0,100,76,8.63
234,Qarchi Gak,AF,2020-07-09 23:04:44,37.04,66.79,87.01,35,0,2.24
235,Inongo,CD,2020-07-09 23:04:44,-1.95,18.27,72.55,70,98,3.02
236,Faya,SA,2020-07-09 23:04:44,18.39,42.45,73.4,40,20,3.13
237,Gazanjyk,TM,2020-07-09 23:04:44,39.24,55.52,88.21,21,0,8.95
238,Hof,DE,2020-07-09 23:04:44,50.32,11.92,61.0,78,0,1.99
239,Chilca,PE,2020-07-09 23:04:45,-12.52,-76.74,62.6,77,75,9.17
240,Birao,CF,2020-07-09 23:04:45,10.28,22.79,72.81,90,100,2.57
241,Nusaybin,TR,2020-07-09 23:04:45,37.08,41.22,85.37,14,0,9.44
242,Manyana,BW,2020-07-09 23:04:45,-23.4,21.72,55.47,45,0,8.63
243,Kutum,SD,2020-07-09 23:02:23,14.2,24.67,76.84,58,64,8.23
244,Iskateley,RU,2020-07-09 23:04:45,67.68,53.15,71.96,75,0,13.47
245,Namibe,AO,2020-07-09 23:04:46,-15.2,12.15,61.86,81,0,8.68
246,Pisco,PE,2020-07-09 23:02:47,-13.7,-76.22,64.4,68,20,14.99
247,Sarakhs,IR,2020-07-09 23:04:46,36.54,61.16,77.0,38,0,2.24
248,Pinos Puente,ES,2020-07-09 23:04:46,37.25,-3.75,75.2,36,0,3.36
249,Ampanihy,MG,2020-07-09 23:04:46,-24.7,44.75,63.03,66,0,6.29
250,Punta Alta,AR,2020-07-09 23:04:46,-38.88,-62.07,52.09,45,100,24.05
251,Peterhead,GB,2020-07-09 23:04:47,57.51,-1.8,53.01,87,75,5.82
252,Lai,TD,2020-07-09 23:04:47,9.4,16.3,72.75,90,100,4.25
253,Palmas,BR,2020-07-09 23:03:13,-10.21,-48.36,80.6,44,0,4.7
254,Merrill,US,2020-07-09 23:02:55,45.18,-89.68,75.2,88,75,5.73
255,Sorab,IN,2020-07-09 23:04:48,14.38,75.1,70.99,92,100,6.58
256,Sabirabad,AZ,2020-07-09 23:04:48,40.01,48.48,78.8,61,60,4.7
257,Luderitz,NA,2020-07-09 23:04:48,-26.65,15.16,53.6,93,0,9.17
258,Ponazyrevo,RU,2020-07-09 23:04:48,58.36,46.31,60.3,97,100,6.87
259,Morant Bay,JM,2020-07-09 23:04:48,17.88,-76.41,87.8,74,40,23.04
260,Kyshtovka,RU,2020-07-09 23:04:48,56.55,76.63,63.91,96,94,13.94
261,Booue,GA,2020-07-09 23:04:48,-0.09,11.94,72.34,92,58,2.91
262,Los Llanos De Aridane,ES,2020-07-09 23:04:49,28.66,-17.92,71.6,78,10,16.11
263,Oskemen,KZ,2020-07-09 23:04:49,49.96,82.61,57.2,87,8,2.24
264,Mabaruma,GY,2020-07-09 23:04:49,8.2,-59.78,75.88,88,64,3.87
265,Walvis Bay,NA,2020-07-09 23:04:49,-22.96,14.51,53.01,81,0,5.82
266,Itaperuna,BR,2020-07-09 23:00:26,-21.2,-41.89,68.27,85,2,6.31
267,Soto,AR,2020-07-09 23:04:49,-32.81,-61.4,51.8,62,36,8.05
268,Paramonga,PE,2020-07-09 23:04:50,-10.67,-77.83,61.84,81,7,9.73
269,Traverse City,US,2020-07-09 23:03:13,44.76,-85.62,82.0,69,75,4.7
270,Khor,RU,2020-07-09 23:04:50,47.89,134.95,60.42,89,94,7.25
271,Crateus,BR,2020-07-09 23:04:50,-5.18,-40.68,76.84,66,25,4.63
272,Kamenka,RU,2020-07-09 23:04:50,51.32,42.77,62.01,85,3,5.99
273,Nechi,CO,2020-07-09 23:04:50,8.09,-74.78,82.02,85,51,2.35
274,Omboue,GA,2020-07-09 23:04:50,-1.57,9.26,73.78,83,100,8.28
275,Yining,CN,2020-07-09 23:03:21,29.04,114.56,76.62,90,100,0.74
276,Peruwelz,BE,2020-07-09 23:04:51,50.51,3.59,62.6,82,99,8.05
277,Nambiyur,IN,2020-07-09 23:04:51,11.37,77.33,75.49,84,100,5.59
278,Qostanay,KZ,2020-07-09 23:04:51,53.17,63.58,71.6,60,0,11.18
279,Hoopstad,ZA,2020-07-09 23:04:51,-27.83,25.91,51.08,70,3,10.0
280,Rudbar,AF,2020-07-09 23:04:51,30.15,62.6,81.5,17,0,13.13
281,Acarau,BR,2020-07-09 23:04:52,-2.89,-40.12,79.21,75,11,14.47
282,Zeerust,ZA,2020-07-09 23:04:52,-25.54,26.08,46.4,75,0,6.93
283,Mbamba,NG,2020-07-09 23:04:52,9.98,13.1,70.11,91,100,1.68
284,Nanortalik,GL,2020-07-09 23:04:52,60.14,-45.24,45.12,93,100,10.54
285,Port-Cartier,CA,2020-07-09 23:04:52,50.03,-66.87,66.2,82,40,6.93
286,Fiche,ET,2020-07-09 23:04:53,9.8,38.73,52.32,88,51,3.44
287,Riyadh,SA,2020-07-09 23:02:58,24.69,46.72,89.6,15,35,4.7
288,Nioro,GM,2020-07-09 23:04:53,13.35,-15.75,83.12,65,100,10.89
289,Jumla,NP,2020-07-09 23:01:06,29.27,82.18,63.25,70,100,1.72
290,Porto Franco,BR,2020-07-09 23:00:51,-6.34,-47.4,78.51,43,89,2.04
291,Narimanov,RU,2020-07-09 23:04:53,46.69,47.85,80.6,51,88,8.95
292,Yazman,PK,2020-07-09 23:04:54,29.12,71.74,93.58,45,18,19.95
293,Honningsvag,NO,2020-07-09 23:04:54,70.98,25.97,46.15,91,100,15.35
294,Remontnoye,RU,2020-07-09 23:04:54,46.56,43.65,69.8,64,58,15.66
295,Presidencia Roque Saenz Pena,AR,2020-07-09 23:04:54,-26.79,-60.44,50.7,76,0,6.33
296,Yabelo,ET,2020-07-09 23:04:54,4.88,38.08,57.54,100,35,6.38
297,Sagua De Tanamo,CU,2020-07-09 23:04:54,20.58,-75.24,85.6,67,84,2.62
298,Togur,RU,2020-07-09 23:04:54,58.36,82.83,56.44,94,83,6.04
299,Viedma,AR,2020-07-09 23:04:55,-40.81,-63.0,50.18,57,100,26.26
300,Comodoro Rivadavia,AR,2020-07-09 23:03:37,-45.87,-67.5,42.8,70,74,6.93
301,Cocal,BR,2020-07-09 23:04:55,-28.62,-49.35,49.59,79,0,2.89
302,Sevlievo,BG,2020-07-09 23:03:11,43.03,25.11,61.0,81,0,1.01
303,Andros Town,BS,2020-07-09 23:03:04,24.7,-77.77,87.8,62,75,5.82
304,Manali,IN,2020-07-09 23:04:55,13.17,80.27,77.0,94,90,5.82
305,Turukhansk,RU,2020-07-09 23:04:56,65.82,87.98,54.84,81,13,7.09
306,Sept-Iles,CA,2020-07-09 23:04:36,50.2,-66.38,66.2,82,40,6.93
