City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description,Rain (inches),Snow (inches)
274,Camacha,PT,33.08,-16.33,68.0,77,40,11.41,scattered clouds,0,0
275,Hobyo,SO,5.35,48.53,79.41,75,34,20.83,scattered clouds,0,0
276,Kautokeino,NO,69.01,23.04,48.87,83,96,7.09,overcast clouds,0,0
277,Isiro,CD,2.77,27.62,66.87,98,97,1.36,overcast clouds,0,0
278,Bengkulu,ID,-3.8,102.27,74.1,89,59,3.85,broken clouds,0,0
279,Miedzychod,PL,52.6,15.9,60.01,66,6,5.82,clear sky,0,0
280,Kindu,CD,-2.95,25.95,71.73,87,60,2.86,light rain,0,0
281,Gamba,GA,-2.65,10.0,70.5,93,14,5.88,few clouds,0,0
282,Salinas,US,36.68,-121.66,73.4,49,1,14.99,clear sky,0,0
283,Ekibastuz,KZ,51.67,75.37,66.87,71,7,11.05,clear sky,0,0
284,Klaksvik,FO,62.23,-6.59,50.0,93,100,11.41,overcast clouds,0,0
285,Awjilah,LY,29.11,21.29,74.64,69,0,15.77,clear sky,0,0
286,Esmeraldas,BR,-19.76,-44.31,71.6,49,100,6.93,overcast clouds,0,0
287,Sioux Lookout,CA,50.1,-91.92,71.6,60,40,5.82,scattered clouds,0,0
288,Yining,CN,29.04,114.56,75.38,90,87,1.25,overcast clouds,0,0
289,Storslett,NO,69.77,21.02,50.58,82,100,0.87,overcast clouds,0,0
290,Marinhas,PT,41.56,-8.78,80.01,64,0,5.17,clear sky,0,0
291,Bathsheba,BB,13.22,-59.52,84.2,74,40,17.22,scattered clouds,0,0
292,Tessalit,ML,20.2,1.01,94.15,25,43,10.94,scattered clouds,0,0
293,Richards Bay,ZA,-28.78,32.04,56.01,71,0,8.12,clear sky,0,0
294,Karasuk,RU,53.74,78.04,59.7,91,0,8.48,clear sky,0,0
295,San Cristobal,VE,7.77,-72.22,84.2,58,40,4.7,light rain,0,0
296,Matara,LK,5.95,80.54,78.82,88,91,8.25,overcast clouds,0,0
297,Bahir Dar,ET,11.59,37.39,62.37,90,100,3.6,light rain,0,0
298,Moose Factory,CA,51.26,-80.61,57.2,87,90,5.82,overcast clouds,0,0
299,Peniche,PT,39.36,-9.38,70.0,86,0,1.99,clear sky,0,0
300,Kjustendil,BG,42.28,22.69,55.36,82,0,3.22,clear sky,0,0
301,Avon Park,US,27.6,-81.51,88.0,65,1,8.05,clear sky,0,0
302,Brae,GB,60.4,-1.35,51.8,87,99,5.82,overcast clouds,0,0
303,Bay Roberts,CA,47.6,-53.26,63.0,57,100,14.16,light rain,0,0
304,Peski,RU,55.22,38.76,62.6,88,26,8.95,scattered clouds,0,0
305,Tortoli,IT,39.93,9.66,75.2,94,5,6.93,clear sky,0,0
306,Iqaluit,CA,63.75,-68.51,59.0,58,75,13.87,shower rain,0,0
307,General Roca,AR,-39.03,-67.58,46.4,61,100,2.24,overcast clouds,0,0
308,Ponta Delgada,PT,37.73,-25.67,68.0,72,75,6.93,broken clouds,0,0
309,Beloha,MG,-25.17,45.05,66.58,76,56,7.29,broken clouds,0,0
310,Nalut,LY,30.33,10.85,83.34,26,0,12.71,clear sky,0,0
311,Maku,IR,39.29,44.45,66.22,65,22,1.52,light rain,0,0
312,Meulaboh,ID,4.14,96.13,76.53,81,100,3.56,overcast clouds,0,0
313,Bibiani,GH,6.46,-2.32,70.65,99,73,2.46,broken clouds,0,0
314,Geraldton,AU,-28.77,114.6,53.6,62,75,14.99,broken clouds,0,0
315,Kankan,GN,10.39,-9.31,72.48,93,58,2.98,broken clouds,0,0
316,Angoche,MZ,-16.23,39.91,71.73,82,0,7.61,clear sky,0,0
317,Hornepayne,CA,49.21,-84.77,74.3,36,10,8.46,clear sky,0,0
318,Ust-Shonosha,RU,61.15,41.34,53.1,81,89,3.31,overcast clouds,0,0
319,Calvinia,ZA,-31.47,19.78,46.13,54,0,12.84,clear sky,0,0
320,Ekuvukeni,ZA,-28.47,30.16,44.37,55,0,5.12,clear sky,0,0
321,Kjopsvik,NO,68.1,16.37,52.0,87,96,11.41,overcast clouds,0,0
322,Hurghada,EG,27.26,33.81,89.6,24,0,13.87,clear sky,0,0
323,Abalak,RU,58.13,68.59,60.19,81,13,4.92,few clouds,0,0
324,Hualmay,PE,-11.1,-77.61,64.65,72,7,7.56,clear sky,0,0
325,Atar,MR,20.52,-13.05,94.14,33,8,3.42,clear sky,0,0
326,Florianopolis,BR,-27.61,-48.5,68.0,82,40,8.05,scattered clouds,0,0
327,Soria,ES,41.67,-2.67,57.99,85,100,1.99,overcast clouds,0,0
328,Kudahuvadhoo,MV,2.67,72.89,83.97,68,90,4.09,overcast clouds,0,0
329,Cayenne,GF,4.93,-52.33,82.4,78,90,5.82,overcast clouds,0,0
330,Takoradi,GH,4.88,-1.76,74.79,89,35,7.96,scattered clouds,0,0
331,Rio Cauto,CU,20.56,-76.92,91.4,55,75,9.17,broken clouds,0,0
332,Vestmanna,FO,62.16,-7.17,50.0,93,100,14.99,overcast clouds,0,0
333,Muros,ES,42.78,-9.06,71.01,68,0,7.0,clear sky,0,0
334,Buraydah,SA,26.33,43.98,100.4,19,20,4.7,few clouds,0,0
335,Pafos,CY,34.77,32.42,77.0,88,20,8.05,few clouds,0,0
336,Domoni,KM,-12.26,44.53,75.15,78,10,5.59,clear sky,0,0
337,Greeneville,US,36.16,-82.83,82.99,51,1,5.82,clear sky,0,0
338,Iguape,BR,-24.71,-47.56,76.64,59,4,9.22,clear sky,0,0
339,Challans,FR,46.84,-1.87,63.0,55,0,5.82,clear sky,0,0
340,Santa Rosa,PH,14.31,121.11,81.0,85,100,3.0,moderate rain,0,0
341,Andenes,NO,69.31,16.12,50.0,81,48,3.36,scattered clouds,0,0
342,Salalah,OM,17.02,54.09,80.6,94,90,5.82,light intensity drizzle,0,0
343,Vinukonda,IN,16.05,79.75,84.49,66,100,6.53,overcast clouds,0,0
344,Zlatoust,RU,55.17,59.65,61.16,95,0,1.88,clear sky,0,0
345,Prata,BR,-19.31,-48.92,72.21,46,100,4.29,overcast clouds,0,0
346,Ferrol,ES,43.48,-8.24,68.0,64,0,8.05,clear sky,0,0
347,Mahibadhoo,MV,3.78,72.97,83.37,68,87,2.68,overcast clouds,0,0
348,Falmouth,GB,50.15,-5.07,61.0,82,2,4.7,clear sky,0,0
349,Conceicao Do Araguaia,BR,-8.26,-49.26,82.99,38,79,1.97,broken clouds,0,0
350,Marawi,PH,8.0,124.29,73.0,90,100,5.99,overcast clouds,0,0
