City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
399,Sur,OM,85.17,overcast clouds,22.57,59.53,Sur Plaza Hotel
405,Mindelo,CV,77.0,broken clouds,16.89,-24.98,Hotel Gaudi
410,Bani,DO,87.8,broken clouds,18.28,-70.33,Hospedaje Henriquez
411,Algiers,DZ,75.2,scattered clouds,36.75,3.04,Sofitel Algiers Hamma Garden
413,Turbat,PK,80.98,few clouds,26.0,63.04,Mubashar Quarters
415,Beberibe,BR,78.8,light rain,-4.18,-38.13,Villa Arte Pousada Morro Branco
416,Itaporanga,BR,77.79,overcast clouds,-7.3,-38.15,Hotel Rainha do Vale
417,Santa Cruz,BO,78.8,scattered clouds,-17.8,-63.17,Hotel Cortez
418,Nieuw Nickerie,SR,79.95,light rain,5.95,-56.98,Ishwardat Inn
420,Awbari,LY,87.53,clear sky,26.59,12.78,فندق أوباري
423,Chillicothe,US,80.01,scattered clouds,39.33,-82.98,Holiday Inn Express Chillicothe East
424,Tabou,CI,75.22,overcast clouds,4.42,-7.35,hotêl doufoulougou
427,Dalbandin,PK,79.92,clear sky,28.89,64.41,Gidaan Guest House
428,Touros,BR,75.2,few clouds,-5.2,-35.46,INN NEW HORIZON
430,Sayat,TM,84.2,clear sky,38.78,63.88,
431,Kerman,IR,80.6,broken clouds,30.28,57.08,Kerman Hotel
434,Marbella,ES,77.0,scattered clouds,36.52,-4.89,Hotel Fuerte Marbella
435,San Carlos,VE,79.52,moderate rain,9.66,-68.58,Hotel Paternopoli
438,Natal,BR,75.2,few clouds,-5.79,-35.21,Villa Park Hotel | Natal
443,Nusaybin,TR,87.8,scattered clouds,37.08,41.22,Aydinlar Hotel
446,Itarema,BR,78.24,light rain,-2.92,-39.92,Windvillage
451,Aparecida Do Taboado,BR,76.84,broken clouds,-20.09,-51.09,Aritana
453,Marsh Harbour,BS,80.8,overcast clouds,26.54,-77.06,Abaco Beach Resort
454,Dombarovskiy,RU,76.12,few clouds,50.76,59.54,
458,Umm Lajj,SA,83.91,clear sky,25.02,37.27,Moon light Furnished Units
460,Puri,IN,78.8,haze,19.8,85.85,OYO 1577 Hotel Shree Hari Grand
464,Feijo,BR,83.73,broken clouds,-8.16,-70.35,Hotel e Restaurante Aҫai
465,Kyabe,TD,75.87,light rain,9.45,18.94,
475,Witu,KE,76.24,clear sky,-2.39,40.44,
479,Dera Bugti,PK,87.35,clear sky,29.03,69.15,SARDAR GHULAM MUSTAFA KHAN BUGTI
480,Ruwi,OM,89.6,scattered clouds,23.6,58.55,Al Falaj Hotel
483,Sinjar,IQ,86.99,scattered clouds,36.32,41.88,زوماني فون 1
486,Jhudo,PK,85.23,scattered clouds,24.96,69.3,Haji Ismail Ameen Nagori
489,Emba,KZ,86.0,broken clouds,48.83,58.14,
490,Tambopata,PE,80.1,overcast clouds,-12.73,-69.18,
491,Robertsport,LR,76.33,scattered clouds,6.75,-11.37,Kwepunha Retreat
496,Gourcy,BF,85.69,broken clouds,13.22,-2.35,
497,Thompson,CA,75.2,broken clouds,55.74,-97.86,Burntwood Hotel
501,Brasileia,BR,82.04,clear sky,-11.02,-68.75,Pousada Tobias
505,Trairi,BR,75.92,light rain,-3.28,-39.27,Pousada Field Lilies - Trairi
506,Manavalakurichi,IN,80.6,mist,8.13,77.3,Udaya Boys Hostel
507,Rudbar,AF,81.01,clear sky,30.15,62.6,
508,Waterboro,US,87.8,few clouds,43.54,-70.72,Scott's Cove Camping Area
510,Behat,IN,81.84,clear sky,30.17,77.62,Multani's cottage
511,Amapa,BR,78.04,overcast clouds,1.0,-52.0,
514,Itamaraca,BR,80.6,scattered clouds,-7.75,-34.83,Special K's Bed & Breakfast
518,Kinshasa,CD,77.0,scattered clouds,-4.32,15.32,Kabinda Center
519,Nasirabad,IN,81.75,overcast clouds,26.3,74.73,Lakshmi Hotel
524,Jacmel,HT,89.6,few clouds,18.23,-72.53,Hotel Florita
525,Sayla,IN,81.77,overcast clouds,22.55,71.47,Bell Guest House
526,Venice,US,90.0,scattered clouds,27.1,-82.45,A Beach Retreat
533,Bom Jesus,BR,78.91,scattered clouds,-9.07,-44.36,Hotel Brasão & Floricultura Bella Flor
535,Kuryk,KZ,80.96,clear sky,43.2,51.65,Gostinitsa Kuryk - Otel' Dlya Vsekh Kategoriy Kliyentov .
538,Kangaba,ML,77.11,light rain,11.93,-8.42,Hôtel Mandé
540,Tenkodogo,BF,81.97,broken clouds,11.78,-0.37,Hôtel Tiéba
543,Carora,VE,87.44,light rain,10.18,-70.08,Hotel Irpinia
546,Bandarbeyla,SO,81.52,broken clouds,9.49,50.81,REER XOOSHLE GROUP
548,Saint Anthony,US,84.99,scattered clouds,45.02,-93.22,Holiday Inn Express Roseville-St. Paul
549,Cururupu,BR,75.43,broken clouds,-1.83,-44.87,Pousada Través'cia
554,Jacareacanga,BR,82.15,overcast clouds,-6.22,-57.75,Casa do Ian😎
555,Mersin,TR,78.8,few clouds,36.86,34.65,Nostalgia Boutique Hotel
556,Altamira,BR,78.13,light rain,-3.2,-52.21,Requinte Hotel
560,Boromo,BF,81.52,few clouds,11.75,-2.93,Sama Camp
561,Tiznit,MA,83.05,broken clouds,29.58,-9.5,
563,Chalus,IR,75.2,light intensity drizzle,36.66,51.42,نظام مهندسي ساختمان چالوس
565,Colombo,LK,78.8,scattered clouds,6.93,79.85,Galle Face Hotel
568,Thinadhoo,MV,84.58,overcast clouds,0.53,72.93,
569,Rajpipla,IN,81.39,broken clouds,21.87,73.5,Government Guest House
570,Buchanan,LR,77.0,broken clouds,5.88,-10.05,Kamaneahn Hotel Inc
